d1, ax, ay, az, axL, azL, ts
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.32675
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 94.33941
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.35417
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.36791
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.38161
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.39603
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.40839
0.00000, 273.00000, 325.00000, 328.00000, 322.00000, 411.00000, 94.42227
0.00000, 271.00000, 326.00000, 328.00000, 320.00000, 411.00000, 94.43651
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.45067
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.46546
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.47915
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.49345
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.50786
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.52605
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.54122
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.55546
0.00000, 271.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.57015
0.00000, 273.00000, 326.00000, 329.00000, 322.00000, 411.00000, 94.58170
0.00000, 273.00000, 326.00000, 329.00000, 320.00000, 410.00000, 94.60477
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.61742
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.63089
0.00000, 271.00000, 327.00000, 328.00000, 321.00000, 411.00000, 94.64588
0.00000, 271.00000, 327.00000, 329.00000, 322.00000, 411.00000, 94.66280
0.00000, 271.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.67768
0.00000, 271.00000, 326.00000, 328.00000, 322.00000, 412.00000, 94.69272
0.00000, 273.00000, 326.00000, 329.00000, 322.00000, 412.00000, 94.70908
0.00000, 271.00000, 326.00000, 327.00000, 322.00000, 410.00000, 94.72474
